Gender,Religious ,Influence,Age:,Rogue One: A Star Wars Story, Finding Dory,Captain America: Civil War,The Secret Life of Pets,The Jungle Book ,Deadpool,Zootopia,Batman v Superman: Dawn of Justice,Sucide Squad,Moana,Fantastic Beast and Where to Find Them,Doctor Strange,Hidden Figures,Jason Bourne,Star Trek Beyond,X-Men: Apocalypse,Trolls,La La Land,Kung Fu Panda 3,Fight Club,Hacksaw Ridge,Slumdog Millionaire,The Magnificent Seven,Avatar,Gender equality boosts economic growth,"To achieve gender equality, changes are required for both men and women",Women with full-time jobs earn less than their male counterparts,Women empowerment comes at the expense of men,Women are promoted at work less often than men,"There should be an equal number of men and women who are leaders in work, politics, and community",Most developed countries have attained gender equality,"Women inherently lack the ambition, confidence, and core competencies necessary for leadership success",Biological differences in men and women account for the lack of women in STEM fields,Crying is associated with femininity and weakness,Women would rather stay home with their children than be in the workplace
Female,Not Religious,Not at all,52,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,No opinion,Strongly disagree
Male,Not Religious,Not at all,43,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Female,Not Religious,Not at all,31,Never saw it,Liked it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,No opinion,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Female,Pagan,Moderately,31,Liked it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Liked it,Didn't like it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree
Female,Christian: Protestant or Other,Strongly,60,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Didn't like it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,No opinion,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,No opinion
Male,Hindu,Slightly,47,Liked it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Didn't like it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Strongly agree,Strongly agree,No opinion,Somewhat disagree,No opinion,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,No opinion
Female,Not Religious,Moderately,30,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,No opinion
Male,Not Religious,Not at all,39,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Didn't like it,Didn't like it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Didn't like it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree
Female,Not Religious,Not at all,42,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Didn't like it,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree
Male,Not Religious,Slightly,46,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Didn't like it,Didn't like it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Didn't like it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
Female,Christian: Catholic or Orthodox,Slightly,33,Liked it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Liked it,Didn't like it,Didn't like it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Didn't like it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree
Female,Christian: Protestant or Other,Strongly,23,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,No opinion
Male,Christian: Catholic or Orthodox,Slightly,26,Liked it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Didn't like it,Liked it,Never saw it,Didn't like it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Liked it,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree
Male,Buddhist/Confucian/Shinto,Slightly,30,Liked it,Liked it,Liked it,Liked it,Didn't like it,Never saw it,Liked it,Liked it,Didn't like it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Didn't like it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Didn't like it,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No opinion,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
Male,Not Religious,Not at all,34,Liked it,Never saw it,Never saw it,Didn't like it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Didn't like it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree
Male,Not Religious,Slightly,35,Didn't like it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Didn't like it,Didn't like it,Never saw it,Didn't like it,Liked it,Never saw it,Never saw it,Liked it,Didn't like it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Male,church of jesus christ of ladder day saints,Strongly,61,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,No opinion,Strongly disagree,No opinion,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
Male,Not Religious,Not at all,30,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Liked it,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,No opinion,Somewhat disagree,Somewhat disagree,Strongly disagree,No opinion,Somewhat disagree,No opinion
Female,Not Religious,Not at all,28,Never saw it,Never saw it,Didn't like it,Never saw it,Never saw it,Didn't like it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Didn't like it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree
Male,Not Religious,Slightly,34,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Didn't like it,Never saw it,Never saw it,Didn't like it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Didn't like it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,No opinion,No opinion
Male,Christian: Protestant or Other,Slightly,47,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Didn't like it,Didn't like it,Liked it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Didn't like it,No opinion,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,No opinion,Somewhat disagree,No opinion,No opinion,No opinion
Female,Christian: Catholic or Orthodox,Slightly,73,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,No opinion
Female,Not Religious,Not at all,64,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree
Male,Not Religious,Strongly,23,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,No opinion,Strongly agree,No opinion,Strongly disagree,No opinion,No opinion,No opinion,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Female,Christian: Protestant or Other,Strongly,53,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree
Male,Hindu,Moderately,22,Never saw it,Didn't like it,Liked it,Didn't like it,Liked it,Liked it,Liked it,Liked it,Didn't like it,Never saw it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Strongly agree,Strongly agree,No opinion,Somewhat disagree,No opinion,Somewhat disagree,Somewhat agree,Somewhat disagree,No opinion,Somewhat agree,Somewhat disagree
Male,Muslim/Islamic,Moderately,38,Liked it,Never saw it,Didn't like it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Female,Christian: Catholic or Orthodox,Strongly,22,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Strongly agree,Strongly agree,Somewhat agree,No opinion,No opinion,Strongly agree,Somewhat agree,Strongly disagree,No opinion,Strongly disagree,Strongly disagree
Female,Not Religious,Moderately,34,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree
Male,Not Religious,Not at all,34,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Didn't like it,Never saw it,Didn't like it,Didn't like it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,No opinion,Strongly agree,Somewhat agree,Strongly disagree,No opinion,No opinion,No opinion,Strongly disagree,Somewhat disagree,Somewhat disagree,No opinion
Male,Not Religious,Moderately,26,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Didn't like it,Liked it,Never saw it,Never saw it,Liked it,Didn't like it,Didn't like it,Didn't like it,Didn't like it,Liked it,Didn't like it,Didn't like it,Liked it,Liked it,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,No opinion,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree
Male,Christian: Catholic or Orthodox,Slightly,33,Liked it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Didn't like it,Didn't like it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree
Female,Christian: Catholic or Orthodox,Strongly,35,Didn't like it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Didn't like it,Never saw it,Liked it,Didn't like it,Liked it,Never saw it,Liked it,Didn't like it,Didn't like it,Never saw it,Didn't like it,Never saw it,Didn't like it,Never saw it,Liked it,Liked it,Liked it,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,No opinion,Somewhat agree
